x,y,z,yaw
89614.1888304,43153.0951277,0,0
89613.8604961,43155.0251471,0,0
89613.7357355,43157.0517504,0,0
89613.8312773,43159.0455738,0,0
89614.2516341,43161.1343465,0,0
89615.1139846,43162.8895688,0,0
89616.5495887,43164.0155522,0,0
89618.3815366,43164.5597184,0,0
89620.418949,43164.4674815,0,0
89622.3244026,43163.7991169,0,0
89624.0957178,43162.7990514,0,0
89625.6479643,43161.572704,0,0
89627.0467624,43160.1447138,0,0
89628.270265,43158.5652338,0,0
89629.2981005,43156.8726696,0,0
89630.1413756,43155.0695613,0,0
89630.8214183,43153.2025867,0,0
89631.4082196,43151.2893354,0,0
89631.9750423,43149.3751204,0,0
89632.5923813,43147.4737935,0,0
89633.3268758,43145.625833,0,0
89634.2538758,43143.8646386,0,0
89635.3906704,43142.2608096,0,0
89636.7832019,43140.8302542,0,0
89638.477711,43139.5878449,0,0
89640.305543,43138.7687445,0,0
89642.2154722,43138.5549285,0,0
89644.0914636,43138.9132112,0,0
89645.3662624,43140.2365637,0,0
89646.0531871,43142.1786426,0,0
89646.2450862,43144.1766077,0,0
89646.1385891,43146.1626973,0,0
89645.789889,43148.1590595,0,0
89645.2282295,43150.0840479,0,0
89644.4774572,43151.9479681,0,0
89643.5728556,43153.6944368,0,0
89642.5028311,43155.383359,0,0
89641.3514747,43156.9920421,0,0
89640.1374589,43158.5758447,0,0
89638.8828738,43160.1085556,0,0
89637.5714694,43161.5994308,0,0
89636.1876984,43163.0657185,0,0
89634.777626,43164.4681257,0,0
89633.3101396,43165.8471566,0,0
89631.823372,43167.172597,0,0
89630.2802634,43168.4848834,0,0
89628.7604064,43169.7549558,0,0
89627.2831442,43171.0403964,0,0
89625.8910867,43172.4050465,0,0
89624.5946027,43173.8761969,0,0
89623.3877963,43175.5893407,0,0
89622.454276,43177.4665048,0,0
89621.9300995,43179.3478018,0,0
89622.0551944,43181.1881974,0,0
89622.8301386,43183.0632467,0,0
89624.1508904,43184.5692173,0,0
89625.7451277,43185.6621788,0,0
89627.6696358,43186.3290869,0,0
89629.6967374,43186.3837556,0,0
89631.4860656,43185.983524,0,0
89633.4711013,43185.5056281,0,0
89635.3650253,43184.774602,0,0
89637.3819815,43184.0236076,0,0
89639.1472978,43183.4548248,0,0
89640.9996314,43182.7376338,0,0
89642.9569433,43182.5320958,0,0
89644.9334044,43182.7328654,0,0
89646.8617813,43183.201608,0,0
