x,y,z,yaw
89614.2712031,43153.1487373,0,0
89614.0619002,43155.0924205,0,0
89614.0392936,43157.1218632,0,0
89614.2210932,43159.1078409,0,0
89614.7173211,43161.1786337,0,0
89615.6728789,43162.8713898,0,0
89617.1482951,43163.7683119,0,0
89619.09648,43164.1869667,0,0
89621.0429118,43163.8048284,0,0
89622.9393715,43162.9648365,0,0
89624.6009732,43161.8822774,0,0
89626.108526,43160.5884374,0,0
89627.461646,43159.1351064,0,0
89628.658612,43157.5378791,0,0
89629.67288,43155.8389378,0,0
89630.5229818,43154.0464154,0,0
89631.2440803,43152.1997998,0,0
89631.9125908,43150.3215501,0,0
89632.5933863,43148.4529121,0,0
89633.3550535,43146.6105018,0,0
89634.2594662,43144.8478959,0,0
89635.3603067,43143.1941073,0,0
89636.6433604,43141.7265211,0,0
89638.2357234,43140.3882668,0,0
89639.9531918,43139.3782332,0,0
89641.8662542,43139.0736935,0,0
89643.7647485,43139.2935718,0,0
89645.0595383,43140.5308895,0,0
89645.7624628,43142.4579623,0,0
89646.0081315,43144.4993487,0,0
89645.9771746,43146.4556331,0,0
89645.7198198,43148.4673203,0,0
89645.2624841,43150.4106217,0,0
89644.6154754,43152.3177971,0,0
89643.8085286,43154.0890375,0,0
89642.7958461,43155.8110566,0,0
89641.6602423,43157.4203093,0,0
89640.4166734,43158.9702951,0,0
89639.0953128,43160.4426856,0,0
89637.7040156,43161.8450013,0,0
89636.2268079,43163.2146307,0,0
89634.7271196,43164.5146481,0,0
89633.1715659,43165.7909099,0,0
89631.6079678,43167.0152327,0,0
89629.9916742,43168.2359144,0,0
89628.422,43169.4292028,0,0
89626.9360487,43170.681392,0,0
89625.6326773,43172.1100207,0,0
89624.5239839,43173.7090058,0,0
89623.524659,43175.5548381,0,0
89622.7633999,43177.5643722,0,0
89622.3711667,43179.4617198,0,0
89622.5814588,43181.2514461,0,0
89623.4299206,43183.0977527,0,0
89624.8156263,43184.5193965,0,0
89626.4797642,43185.5093081,0,0
89628.484469,43185.940562,0,0
89630.4632873,43185.6828705,0,0
89632.2196039,43185.5010472,0,0
89634.2063309,43184.9716756,0,0
89636.1984292,43184.3283004,0,0
89638.3077263,43183.8316224,0,0
89640.0901843,43183.4529033,0,0
89641.9742669,43183.1289157,0,0
89643.9821159,43183.1891656,0,0
89645.9626256,43183.4864691,0,0
89647.8713634,43183.922052,0,0
89649.8112317,43184.4281576,0,0
89651.7625555,43184.9147432,0,0
89653.7272335,43185.2910258,0,0
89655.7477277,43185.4683624,0,0
89657.7245184,43185.3317496,0,0
89659.6004571,43184.6202134,0,0
89660.901783,43183.2703759,0,0
89661.6170827,43181.4327615,0,0
89661.101341,43179.8365554,0,0
89659.5350704,43178.3332268,0,0
89657.8222414,43177.3093738,0,0
89656.0175449,43176.4547337,0,0
89654.2905771,43175.6155904,0,0
89652.5425231,43174.5945501,0,0
89650.9640144,43173.4770669,0,0
89649.3862254,43172.0291476,0,0
89648.1141963,43170.438947,0,0
89647.7584965,43168.6940736,0,0
89648.0154508,43166.8524383,0,0
89648.8633571,43165.0200887,0,0
89650.16556,43163.4816081,0,0
89651.8365398,43162.3515623,0,0
89653.7091456,43161.6593857,0,0
89655.6806727,43161.4125898,0,0
89657.7000924,43161.6497986,0,0
89659.5198962,43162.3911177,0,0
89661.0152539,43163.1402004,0,0
89662.7054761,43164.509828,0,0
89664.162321,43165.9853292,0,0
89665.908329,43167.3717298,0,0
89667.5143238,43168.0278643,0,0
89669.4231683,43168.4217884,0,0
89671.3865022,43168.3912346,0,0
89673.2617433,43167.8559389,0,0
89675.071175,43166.8898285,0,0
89676.5590524,43165.5715231,0,0
89677.7102492,43163.9626915,0,0
89678.4725422,43162.1341784,0,0
89678.8416685,43160.1773652,0,0
89678.7961682,43158.1527543,0,0
89678.3324913,43156.2031372,0,0
89677.4645742,43154.4739372,0,0
89676.1235041,43153.0436769,0,0
89674.4824288,43151.9531868,0,0
89672.6853623,43151.0574827,0,0
89670.9878927,43150.1588722,0,0
89669.2487641,43149.0960882,0,0
89667.5256427,43148.1800496,0,0
89665.6861127,43147.2185175,0,0
89663.9059965,43146.1971357,0,0
89662.2370499,43145.1316272,0,0
89660.6901829,43144.0278443,0,0
89659.2499356,43142.7512552,0,0
89658.0221413,43141.1336978,0,0
89657.1882676,43139.3698501,0,0
89656.5742286,43137.4356928,0,0
89656.1250119,43135.4925293,0,0
89655.7085679,43133.5002162,0,0
89655.257571,43131.5741382,0,0
89654.6900228,43129.6887965,0,0
89653.9517859,43127.8275812,0,0
89652.8700679,43126.171316,0,0
89651.5069349,43124.7916923,0,0
89649.8298991,43123.7864081,0,0
89647.9146208,43123.2334074,0,0
89645.900589,43123.1297578,0,0
89643.9318194,43123.4182197,0,0
89642.0265807,43124.019508,0,0
89640.2035701,43124.8280252,0,0
89638.4528357,43125.7268284,0,0
89636.7216135,43126.6209795,0,0
89634.9319301,43127.5296529,0,0
89633.2159501,43128.4600235,0,0
89631.4874813,43129.5062187,0,0
89629.8229766,43130.626731,0,0
89628.1900881,43131.8323441,0,0
89626.671489,43133.0803448,0,0
89625.2259497,43134.4565148,0,0
89623.93602,43135.9348222,0,0
89622.7554649,43137.5276128,0,0
89621.6509513,43139.1771369,0,0
89620.5839073,43140.8507265,0,0
89619.5142317,43142.5404459,0,0
89618.4393963,43144.2149781,0,0
89617.3634361,43145.8979473,0,0
89616.3422622,43147.592973,0,0
89615.425912,43149.3693474,0,0
89614.7257215,43151.1923925,0,0
89614.2712031,43153.1487373,0,0
